Steel,C,Si,Mn,Cr,Mo,Ni,Al,Cu,ppmB,Pa,Rc,lnRc,Texp
Ga10,0.44,0.3,0.85,1.24,0.06,0.28,0,0.22,0,1262.22,0.005,-5.298317367,740
GA11,0.18,0.28,0.49,0.88,0.47,0.16,0,0.2,0,1148.65,5.25,1.658228077,740
GA11,0.18,0.28,0.49,0.88,0.47,0.16,0,0.2,0,1148.65,0.6,-0.510825624,785
GA11,0.18,0.28,0.49,0.88,0.47,0.16,0,0.2,0,1148.65,0.035,-3.352407217,810
GA11,0.18,0.27,0.49,0.88,0.47,0.16,0,0.2,0,1148.65,0.003,-5.80914299,815
GA12,0.22,0.29,0.62,1.09,0.29,0.37,0,0.19,0,1106.87,6.5,1.871802177,700
GA12,0.22,0.29,0.62,1.09,0.29,0.37,0,0.19,0,1106.87,0.85,-0.162518929,745
GA12,0.22,0.29,0.61,1.09,0.29,0.37,0,0.19,0,1106.87,0.065,-2.733368009,765
GA12,0.22,0.29,0.61,1.09,0.29,0.37,0,0.19,0,1106.87,0.006,-5.11599581,770
Ga12,0.22,0.29,0.65,1.09,0.29,0.37,0,0.19,0,1268.68,1.3,0.262364264,700
Ga12,0.22,0.29,0.64,1.09,0.29,0.37,0,0.19,0,1268.68,0.08,-2.525728644,750
Ga12,0.22,0.29,0.64,1.09,0.29,0.37,0,0.19,0,1268.68,0.008,-4.828313737,755
GA13,0.23,0.55,0.69,1.09,0.51,0,0,0,0,1167.82,4.75,1.558144618,750
GA13,0.23,0.55,0.69,1.09,0.51,0,0,0,0,1167.82,0.8,-0.223143551,765
GA13,0.23,0.55,0.69,1.09,0.51,0,0,0,0,1167.82,0.06,-2.813410717,785
GA13,0.23,0.55,0.69,1.09,0.51,0,0,0,0,1167.82,0.005,-5.298317367,800
GA14,0.3,0.28,0.65,1.17,0.35,0.12,0,0.23,0,1083.61,2.38,0.867100488,700
GA14,0.3,0.28,0.65,1.17,0.35,0.12,0,0.23,0,1083.61,0.7,-0.356674944,725
GA14,0.3,0.28,0.65,1.17,0.35,0.12,0,0.23,0,1083.61,0.045,-3.101092789,750
GA14,0.3,0.28,0.65,1.17,0.35,0.12,0,0.23,0,1083.61,0.003,-5.80914299,770
