Steel    C   Si   Mn   Cr   Mo   Ni   Al   Cu ppmB       Pa       Rc Texp

GA13  0.23 0.55 0.69 1.09 0.51 0.00 0.00 0.00  0.0  1167.82    0.145  700
GA13  0.23 0.55 0.69 1.09 0.51 0.00 0.00 0.00  0.0  1167.82    0.013  720
GA14  0.30 0.28 0.65 1.17 0.35 0.12 0.00 0.23  0.0  1083.61    0.150  675
GA14  0.30 0.28 0.65 1.17 0.35 0.12 0.00 0.23  0.0  1083.61    0.009  705
Ga14  0.30 0.28 0.68 1.17 0.34 0.12 0.00 0.23  0.0  1268.68    0.162  665
Ga14  0.30 0.28 0.67 1.17 0.34 0.12 0.00 0.23  0.0  1268.68    0.010  700
GA15  0.38 0.31 0.67 1.18 0.25 0.09 0.00 0.21  0.0  1083.61    0.675  640
GA15  0.38 0.31 0.67 1.18 0.25 0.09 0.00 0.21  0.0  1083.61    0.085  690
GA15  0.38 0.31 0.67 1.18 0.25 0.09 0.00 0.21  0.0  1083.61    0.008  700
Ga15  0.38 0.30 0.69 1.17 0.25 0.09 0.00 0.21  0.0  1268.68    0.100  675
Ga15  0.38 0.30 0.69 1.17 0.25 0.09 0.00 0.21  0.0  1268.68    0.008  690
GA16  0.46 0.30 0.42 1.20 0.35 0.24 0.00 0.32  0.0  1083.61    0.167  670
GA16  0.46 0.30 0.42 1.20 0.35 0.24 0.00 0.32  0.0  1083.61    0.040  690
Ga16  0.46 0.30 0.45 1.20 0.34 0.24 0.00 0.32  0.0  1268.68    0.055  660
GA17  0.50 0.45 0.85 1.26 0.42 0.12 0.00 0.21  0.0  1083.61    0.115  645
GA17  0.50 0.45 0.85 1.26 0.42 0.12 0.00 0.21  0.0  1083.61    0.006  705
Ga17  0.50 0.45 0.87 1.26 0.41 0.12 0.00 0.21  0.0  1268.68    0.063  635
Ga17  0.50 0.45 0.87 1.26 0.41 0.12 0.00 0.21  0.0  1268.68    0.006  705
GA18  0.30 0.29 0.31 1.65 0.53 2.25 0.00 0.25  0.0  1083.61    0.018  635
GA20  0.17 0.30 0.71 0.09 0.49 0.51 0.00 0.18  0.0  1139.37    0.235  625
GA20  0.17 0.30 0.70 0.09 0.49 0.51 0.00 0.18  0.0  1139.37    0.021  650
GA21  0.30 0.38 0.54 0.08 0.00 3.26 0.00 0.00  0.0  1083.61    8.250  595
GA21  0.30 0.38 0.54 0.08 0.00 3.26 0.00 0.00  0.0  1083.61    1.550  605
GA21  0.30 0.38 0.54 0.08 0.00 3.26 0.00 0.00  0.0  1083.61    0.150  610
GA21  0.30 0.38 0.54 0.08 0.00 3.26 0.00 0.00  0.0  1083.61    0.015  615
GA22  0.38 1.43 1.43 0.28 0.00 0.00 0.00 0.00  0.0  1085.28    1.350  655
GA22  0.38 1.43 1.43 0.28 0.00 0.00 0.00 0.00  0.0  1085.28    0.115  675
Ga22  0.38 1.43 1.43 0.28 0.00 0.00 0.00 0.00  0.0  1248.84    1.350  655
Ga22  0.38 1.43 1.43 0.28 0.00 0.00 0.00 0.00  0.0  1248.84    0.115  675
GA23  0.73 2.22 0.92 0.13 0.00 0.09 0.00 0.18  0.0  1078.96    6.750  640
GA23  0.73 2.22 0.92 0.13 0.00 0.09 0.00 0.18  0.0  1078.96    1.000  675
GA23  0.73 2.22 0.92 0.13 0.00 0.09 0.00 0.18  0.0  1078.96    0.070  705
GA23  0.73 2.22 0.92 0.13 0.00 0.09 0.00 0.18  0.0  1078.96    0.006  720
GA24  0.76 0.33 0.27 0.14 0.00 0.07 0.00 0.20  0.0  1092.92   90.000  630
GA24  0.76 0.33 0.27 0.14 0.00 0.07 0.00 0.20  0.0  1092.92   14.000  670
GA24  0.76 0.33 0.27 0.14 0.00 0.07 0.00 0.20  0.0  1092.92    1.300  680
GA24  0.76 0.33 0.27 0.14 0.00 0.07 0.00 0.20  0.0  1092.92    0.110  700
GA24  0.76 0.33 0.26 0.14 0.00 0.07 0.00 0.20  0.0  1092.92    0.010  710
GA25  1.03 0.26 0.15 0.09 0.00 0.10 0.00 0.14  0.0  1092.92  160.000  630
GA25  1.03 0.26 0.15 0.09 0.00 0.10 0.00 0.14  0.0  1092.92   10.000  690
GA25  1.03 0.26 0.15 0.09 0.00 0.10 0.00 0.14  0.0  1092.92    0.850  705
GA25  1.03 0.26 0.15 0.09 0.00 0.10 0.00 0.14  0.0  1092.92    0.080  710
GA25  1.03 0.26 0.15 0.09 0.00 0.10 0.00 0.14  0.0  1092.92    0.008  715
GA26  1.03 0.35 0.36 0.43 0.00 0.31 0.00 0.19  0.0  1280.57    2.250  635
GA26  1.03 0.35 0.36 0.20 0.00 0.31 0.00 0.19  0.0  1280.57    0.170  690
GA26  1.02 0.35 0.31 0.30 0.00 0.31 0.00 0.19  0.0  1280.57    0.016  705
GA27  0.19 0.44 1.19 0.31 0.35 0.90 0.00 1.19  0.0  1097.35    0.011  644
GA27  0.19 0.44 1.19 0.31 0.35 0.90 0.00 1.19  0.0  1097.35    0.005  654
Ga27  0.19 0.43 1.21 0.31 0.35 0.90 0.00 1.19  0.0  1262.22    0.010  637
Ga27  0.19 0.43 1.21 0.31 0.35 0.90 0.00 1.19  0.0  1262.22    0.004  644
GA28  0.40 0.23 0.26 1.43 0.35 4.25 0.00 0.19  0.0  1101.74    0.004  605
Ga28  0.40 0.23 0.26 1.43 0.34 4.25 0.00 0.19  0.0  1186.66    0.004  600
GB01  0.15 0.24 0.06 0.07 0.00 0.00 0.00 0.17  0.0  1139.53   50.000  670
GB01  0.15 0.24 0.06 0.07 0.00 0.00 0.00 0.17  0.0  1139.53   19.500  675
GB01  0.15 0.24 0.06 0.07 0.00 0.00 0.00 0.17  0.0  1139.53    1.900  680
GB01  0.15 0.24 0.05 0.07 0.00 0.00 0.00 0.17  0.0  1139.53    0.185  685
GB01  0.15 0.24 0.03 0.07 0.00 0.00 0.00 0.17  0.0  1139.53    0.018  690
Gb01  0.15 0.24 0.14 0.07 0.00 0.00 0.00 0.17  0.0  1280.57   52.500  660
Gb01  0.15 0.24 0.14 0.07 0.00 0.00 0.00 0.17  0.0  1280.57   20.000  670
Gb01  0.15 0.24 0.14 0.07 0.00 0.00 0.00 0.17  0.0  1280.57    1.900  680
Gb01  0.15 0.24 0.14 0.07 0.00 0.00 0.00 0.17  0.0  1280.57    0.185  685
Gb01  0.15 0.24 0.13 0.07 0.00 0.00 0.00 0.17  0.0  1280.57    0.018  690
GB02  0.30 0.38 0.13 0.14 0.00 0.00 0.00 0.27  0.0  1073.35   51.300  625
GB02  0.30 0.38 0.13 0.14 0.00 0.00 0.00 0.27  0.0  1073.35   17.500  655
GB02  0.30 0.38 0.13 0.14 0.00 0.00 0.00 0.27  0.0  1073.35    1.600  670
GB02  0.30 0.38 0.13 0.14 0.00 0.00 0.00 0.27  0.0  1073.35    0.150  680
GB02  0.30 0.38 0.12 0.14 0.00 0.00 0.00 0.27  0.0  1073.35    0.014  690
Gb02  0.30 0.38 0.16 0.14 0.00 0.00 0.00 0.27  0.0  1185.15   55.000  610
Gb02  0.30 0.38 0.16 0.14 0.00 0.00 0.00 0.27  0.0  1185.15   18.500  645
Gb02  0.30 0.38 0.15 0.14 0.00 0.00 0.00 0.27  0.0  1185.15    1.650  665
Gb02  0.30 0.38 0.13 0.14 0.00 0.00 0.00 0.27  0.0  1185.15    0.150  680
Gb02  0.30 0.38 0.12 0.14 0.00 0.00 0.00 0.27  0.0  1185.15    0.014  690
GB03  0.46 0.42 0.19 0.15 0.00 0.00 0.00 0.27  0.0  1073.35   52.500  620
GB03  0.46 0.42 0.19 0.15 0.00 0.00 0.00 0.27  0.0  1073.35   18.000  650
GB03  0.46 0.42 0.19 0.15 0.00 0.00 0.00 0.27  0.0  1073.35    1.550  675
GB03  0.46 0.42 0.19 0.15 0.00 0.00 0.00 0.27  0.0  1073.35    0.150  680
GB03  0.46 0.42 0.18 0.15 0.00 0.00 0.00 0.27  0.0  1073.35    0.015  680
Gb03  0.46 0.41 0.21 0.15 0.00 0.00 0.00 0.27  0.0  1185.15   56.300  605
Gb03  0.46 0.41 0.21 0.15 0.00 0.00 0.00 0.27  0.0  1185.15   19.500  635
Gb03  0.46 0.41 0.20 0.15 0.00 0.00 0.00 0.27  0.0  1185.15    1.700  660
Gb03  0.46 0.41 0.19 0.15 0.00 0.00 0.00 0.27  0.0  1185.15    0.155  675
Gb03  0.46 0.41 0.19 0.15 0.00 0.00 0.00 0.27  0.0  1185.15    0.015  680
GB04  0.16 0.24 1.19 1.07 0.00 0.13 0.00 0.25  0.0  1102.22    2.050  635
